lane_id	source_center	destination_center	route_type	week_start	segment_count	trip_count	avg_delay_minutes	prior_week_avg_delay_minutes	wow_avg_delay_change_minutes	sla_breach_rate_pct	prior_week_sla_breach_rate_pct	wow_sla_breach_rate_change_pct
IND362265AAA -> IND362720AAA | Carting	IND362265AAA	IND362720AAA	Carting	2018-09-10	19	4	9	NULL	NULL	52.63	NULL	NULL
IND362265AAA -> IND362720AAA | Carting	IND362265AAA	IND362720AAA	Carting	2018-09-17	24	5	12.38	9	3.38	70.83	52.63	18.20
IND362265AAA -> IND362720AAA | Carting	IND362265AAA	IND362720AAA	Carting	2018-09-24	25	5	9.92	12.38	-2.46	60.00	70.83	-10.83
IND362265AAA -> IND362720AAA | Carting	IND362265AAA	IND362720AAA	Carting	2018-10-01	10	2	10.3	9.92	0.38	50.00	60.00	-10.00
IND362560AAA -> IND362150AAA | Carting	IND362560AAA	IND362150AAA	Carting	2018-09-10	15	3	9.8	NULL	NULL	26.67	NULL	NULL
IND362560AAA -> IND362150AAA | Carting	IND362560AAA	IND362150AAA	Carting	2018-09-17	24	4	8.5	9.8	-1.3	20.83	26.67	-5.84
IND362560AAA -> IND362150AAA | Carting	IND362560AAA	IND362150AAA	Carting	2018-09-24	18	3	7	8.5	-1.5	22.22	20.83	1.39
IND362560AAA -> IND362150AAA | Carting	IND362560AAA	IND362150AAA	Carting	2018-10-01	7	1	4.29	7	-2.71	14.29	22.22	-7.93
IND362720AAA -> IND362560AAA | Carting	IND362720AAA	IND362560AAA	Carting	2018-09-10	14	4	9.79	NULL	NULL	50.00	NULL	NULL
IND362720AAA -> IND362560AAA | Carting	IND362720AAA	IND362560AAA	Carting	2018-09-17	24	6	7.42	9.79	-2.37	45.83	50.00	-4.17
IND362720AAA -> IND362560AAA | Carting	IND362720AAA	IND362560AAA	Carting	2018-09-24	20	5	6.75	7.42	-0.67	35.00	45.83	-10.83
IND362720AAA -> IND362560AAA | Carting	IND362720AAA	IND362560AAA	Carting	2018-10-01	8	2	6	6.75	-0.75	25.00	35.00	-10.00
IND363001AAA -> IND363421AAB | FTL	IND363001AAA	IND363421AAB	FTL	2018-09-10	6	3	1.67	NULL	NULL	0.00	NULL	NULL
IND363001AAA -> IND363421AAB | FTL	IND363001AAA	IND363421AAB	FTL	2018-09-17	6	3	1	1.67	-0.67	0.00	0.00	0.00
IND363001AAA -> IND363421AAB | FTL	IND363001AAA	IND363421AAB	FTL	2018-09-24	9	5	6.33	1	5.33	11.11	0.00	11.11
IND363001AAA -> IND363421AAB | FTL	IND363001AAA	IND363421AAB	FTL	2018-10-01	6	3	1.67	6.33	-4.66	16.67	11.11	5.56
